ID;titolo_articolo;data_pubblicazione;template_articolo;context;maintax;category;post_tag;geo;staff
312432;Les fictions les plus attendues cette année;2026-01-09 18:34:56;templates/post-angles.php;cult;category;Livres;NULL;Europe;Le Grand Continent
312492;Meloni va-t-elle vraiment admettre 500 000 migrants non-européens en trois ans pour travailler en Italie ?;2026-01-09 15:38:26;templates/post-briefings.php;ops;geo;Politique;NULL;Europe;NULL
312597;Le patriarche Kirill appelle les Russes au sacrifice contre la «dégradation morale» de l’Occident;2026-01-09 15:05:34;templates/post-speeches.php;cult;category;Doctrines de la Russie de Poutine;NULL;Asie septentrionale;Guillaume Lancereau
312586;En Iran, les manifestations se sont étendues à l’ensemble du pays [Carte exclusive];2026-01-09 13:40:20;templates/post-briefings.php;ops;geo;Politique;NULL;Asie Intermédiaire;NULL
312479;Économie russe : la consommation des ménages est en baisse;2026-01-09 06:30:00;templates/post-briefings.php;ops;geo;Économie;NULL;Asie septentrionale;Guillaume Duval
312524;L’urgence du moment;2026-01-09 06:00:00;templates/post-editorials.php;cult;category;Politique;NULL;Europe;Frédéric Worms
312491;La Russie et la Chine peuvent-elles vraiment être alliées ? Notes sur la cannibalisation impériale;2026-01-08 19:37:42;templates/post-studies.php;cult;category;Politique;NULL;Asie septentrionale;Martin Wagner, Sören Urbansky
312419;«Les Yankees ont créé un précédent avec Maduro — le clown de Kiev ferait bien de ne pas se relâcher» : la Russie de Poutine réagit au Venezuela;2026-01-08 16:40:35;templates/post-studies.php;cult;category;Doctrines de la Russie de Poutine;NULL;Asie septentrionale;Guillaume Lancereau
312410;Le coût politique d'une invasion du Groenland pourrait être prohibitif pour Trump;2026-01-08 13:30:01;templates/post-briefings.php;ops;geo;Politique;NULL;Amériques;NULL
312272;Le Venezuela a-t-il réellement 300 milliards de barils de pétrole en réserve ?;2026-01-08 06:30:00;templates/post-briefings.php;ops;category;Énergie et environnement;NULL;Amériques;Guillaume Duval
312284;Câbles sous-marins à Taïwan : la stratégie chinoise du blackout;2026-01-08 06:00:00;templates/post-studies.php;cult;category;Guerre;NULL;Asie Orientale;Samanth Subramanian
312254;L’Iran est-il au bord d’une nouvelle révolution ? Tendances lourdes et signaux faibles de l’opinion publique;2026-01-07 19:06:38;templates/post-studies.php;cult;category;Politique;NULL;Asie Intermédiaire;Esfandyar Batmanghelidj
312239;Que signifie la chute de Maduro pour la stratégie chinoise en Amérique latine ?;2026-01-07 17:31:39;templates/post-briefings.php;ops;category;Politique;NULL;Amériques;NULL
312212;Au Sénat, cinq élus républicains s’opposent à la prise de contrôle du Groenland par Trump;2026-01-07 13:25:07;templates/post-briefings.php;ops;geo;Politique;NULL;Amériques;NULL
311537;Trumponomics : l’économie américaine va-t-elle s'effondrer en 2026 ?;2026-01-07 13:00:00;templates/post-angles.php;cult;category;Économie;NULL;Amériques;Gilles Moëc
312128;Depuis plus d’un an, l’armée ukrainienne teste en condition réelle des drones alimentés par l’IA;2026-01-07 06:30:00;templates/post-briefings.php;ops;category;La guerre en Ukraine au jour le jour;NULL;Europe;NULL
312146;«L’Amérique n’appartient ni à une doctrine, ni à une puissance», la réponse de la présidente du Mexique à Trump;2026-01-07 06:00:00;templates/post-speeches.php;cult;category;Politique;NULL;Amériques;Le Grand Continent
312096;Recolonisation: la méthode Curtis Yarvin pour occuper et gouverner un État étranger;2026-01-06 19:44:53;templates/post-speeches.php;cult;category;De l'Empire Trump : sources intellectuelles d'une révolution culturelle;NULL;Amériques;Arnaud Miranda
312137;Les dirigeants iraniens, inquiets par la chute de Maduro et la montée en puissance des manifestations;2026-01-06 19:10:09;templates/post-briefings.php;ops;geo;Politique;NULL;Asie Intermédiaire;NULL
312083;L'Europe au milieu du cycle : les 10 élections à suivre en 2026;2026-01-06 17:02:01;templates/post-studies.php;cult;category;Élections;NULL;NULL;François Hublet
312099;L’opération militaire de Trump au Venezuela est très impopulaire auprès des électeurs;2026-01-06 16:24:30;templates/post-briefings.php;ops;geo;Politique;NULL;Amériques;NULL
312076;Au Venezuela, le régime chaviste est-il toujours en place ? 5 points sur la situation à Caracas;2026-01-06 13:52:00;templates/post-studies.php;cult;geo;Politique;NULL;Amériques;NULL
312059;«Personne ne va se battre militairement contre les États-Unis pour l'avenir du Groenland» : Miller précise le plan américain (vidéo);2026-01-06 12:29:19;templates/post-briefings.php;ops;geo;Géopolitique de Donald Trump;NULL;Amériques;NULL
312049;Du Groenland à la Chine, la géopolitique de Donald Trump est structurée par une obsession : les terres rares;2026-01-06 11:54:31;templates/post-briefings.php;ops;geo;Économie;NULL;Nordiques;NULL
312027;Cinq ans après, plus d’un quart des électeurs républicains soutient l’assaut du Capitole du 6 janvier 2021;2026-01-06 06:30:00;templates/post-briefings.php;ops;geo;Politique;NULL;Amériques;NULL
311999;Pourquoi il ne faut pas céder à Trump : la leçon du 6 janvier;2026-01-06 06:00:00;templates/post-editorials.php;cult;category;Politique;NULL;Amériques;Rick Perlstein
312018;Manifestations en Iran : sept graphiques sur la dégradation de la situation économique;2026-01-05 20:06:41;templates/post-briefings.php;ops;geo;Données qui changent la donne;NULL;Asie Intermédiaire;Guillaume Duval
311957;Géopolitique hémisphérique : comprendre la doctrine Trump;2026-01-05 16:47:32;templates/post-editorials.php;cult;category;Géopolitique de Donald Trump;NULL;Amériques;Klaus Dodds
311906;Make Colonialism Great Again : la Maison-Blanche fait de la recolonisation sa doctrine globale;2026-01-05 12:47:22;templates/post-studies.php;cult;category;Géopolitique de Donald Trump;NULL;Amériques;NULL
311908;Venezuela, Cuba, Groenland… Trump a agi contre ou menacé d’intervention six pays depuis le 1er janvier;2026-01-05 12:40:04;templates/post-briefings.php;ops;geo;Guerre;NULL;Amériques;NULL
311811;Le Venezuela est également la plus importante crise des réfugiés au monde;2026-01-05 06:30:00;templates/post-briefings.php;ops;geo;Données qui changent la donne;NULL;Amériques;Guillaume Duval
311804;Venezuela : le programme Machado écarté par Donald Trump (texte intégral);2026-01-05 06:00:00;templates/post-speeches.php;cult;category;Politique;NULL;Amériques;Le Grand Continent
311824;Donald Trump et son clan suggèrent que les États-Unis envisagent d’annexer le Groenland «prochainement»;2026-01-04 22:31:12;templates/post-briefings.php;ops;category;Géopolitique de Donald Trump;NULL;Europe;NULL
311757;L’enlèvement de Maduro : analyse opérationnelle et conséquences stratégiques ;2026-01-04 17:49:44;templates/post-studies.php;ops;category;Guerre;NULL;Amériques;Robert-Henri Berger
311247;Poutine, Trump et un continent dans la tenaille : 10 points sur la défense européenne en 2026;2026-01-04 07:00:00;templates/post-studies.php;cult;category;Guerre;NULL;Europe;Gesine Weber
311715;Doctrine Monroe : l’opération américaine au Venezuela et la capture de Maduro sont-elles sans précédents ? ;2026-01-04 06:30:00;templates/post-briefings.php;ops;category;Géopolitique de Donald Trump;NULL;Amériques;NULL
311699;Maduro serait le premier président en place jugé selon les lois d’un pays étranger;2026-01-03 20:23:37;templates/post-briefings.php;ops;geo;Données qui changent la donne;NULL;Amériques;NULL
311665;Après la capture de Maduro Trump annonce la prise du contrôle du Venezuela par les États-Unis : texte intégral de la conférence Mar-a-Lago;2026-01-03 19:19:30;templates/post-speeches.php;cult;category;Géopolitique de Donald Trump;NULL;Amériques;Le Grand Continent
311658;Selon Donald Trump l’opération américaine au Venezuela vise avant tout les colossales réserves de pétrole du pays  ;2026-01-03 19:00:13;templates/post-briefings.php;ops;geo;Guerre;NULL;Amériques;NULL
311652;Les pays ayant condamné l’opération militaire américaine au Venezuela représentent un quart de la population et du PIB mondial;2026-01-03 18:54:53;templates/post-briefings.php;ops;category;Données qui changent la donne;NULL;Amériques;NULL
311510;Venezuela : cartographier les réactions internationales à l’opération militaire ordonnée par Donald Trump (nouvelle mise à jour 17h30);2026-01-03 14:46:33;templates/post-studies.php;cult;category;Géopolitique de Donald Trump;NULL;Amériques;NULL
311496;Donald Trump a ordonné plus de frappes en un an que Biden au cours de ses quatre années de mandat;2026-01-03 12:59:12;templates/post-briefings.php;ops;category;Guerre;NULL;Amériques;NULL
311448;Les États-Unis ont attaqué le Venezuela : carte exclusive de l'opération militaire américaine à Caracas;2026-01-03 10:53:24;templates/post-briefings.php;ops;geo;Guerre;NULL;Amériques;NULL
311304;Donald Trump confirme que les États-Unis ont bombardé Caracas et ont capturé le président vénézuélien, Nicolas Maduro;2026-01-03 09:00:32;templates/post-briefings.php;ops;geo;Guerre;NULL;Amériques;NULL
311264;À Pokrovsk et Myrnohrad, la progression de l’armée russe ne cesse de ralentir;2026-01-03 06:30:00;templates/post-briefings.php;ops;category;La guerre en Ukraine au jour le jour;NULL;Europe;NULL
311274;La défense du Groenland par Mette Frederiksen : «quoi qu’il arrive, nous resterons fermes»;2026-01-03 06:00:00;templates/post-speeches.php;cult;category;Politique;NULL;Europe;Le Grand Continent
311249;Après avoir diffusé du contenu négationniste et antisémite, l'IA de Musk, Grok, a publié des images pédopornographiques;2026-01-02 19:13:10;templates/post-briefings.php;ops;geo;Numérique;NULL;Amériques;NULL
311203;Pourquoi ni la Chine, ni les États-Unis ne domineront le monde;2026-01-02 14:00:00;templates/post-angles.php;cult;category;Capitalismes politiques en guerre;NULL;Europe;Guillaume Duval
311218;De quoi ont parlé les dirigeants européens lors de leurs discours du Nouvel An 2026 ? [Carte et graphiques exclusifs];2026-01-02 13:30:26;templates/post-briefings.php;ops;category;Données qui changent la donne;NULL;Europe;NULL
311020;19 livres à lire en janvier 2026;2026-01-02 07:00:00;templates/post-angles.php;cult;category;Livres;NULL;Europe;Florian Louis
311183;En Iran, les manifestations menacent-elles le régime ?;2026-01-02 06:30:00;templates/post-briefings.php;ops;geo;Politique;NULL;Asie Intermédiaire;NULL
311119;Élections, droits de douane, guerre, IA : six tendances à suivre en 2026;2026-01-01 06:30:00;templates/post-briefings.php;ops;geo;Politique;NULL;Monde;NULL
310978;Un président pouvait dire ça : Kennedy, Frost et l’effondrement américain;2026-01-01 06:00:00;templates/post-speeches.php;cult;category;Politique;NULL;Amériques;Le Grand Continent
311109;Trump va-t-il faire baisser le prix du champagne ?;2025-12-31 18:56:27;templates/post-briefings.php;ops;category;Économie;NULL;Europe;NULL
310950;Le langage nocturne;2025-12-31 17:00:00;templates/post-editorials.php;cult;category;Lectures;NULL;Europe;Altiero Spinelli
310995;Dans onze États membres, les Labubu ont suscité plus d’intérêt que l’Ukraine en 2025;2025-12-31 13:11:56;templates/post-briefings.php;ops;category;Numérique;NULL;NULL;NULL
310905;En une décennie, la Chine est devenue le premier exportateur de caviar au monde;2025-12-31 06:30:00;templates/post-briefings.php;ops;category;Données qui changent la donne;NULL;Asie Orientale;NULL
310680;La pierre de folie;2025-12-31 06:00:00;templates/post-editorials.php;cult;category;Littérature;NULL;Amériques;Benjamin Labatut
310926;Poutine a souhaité une bonne année à 36 dirigeants — dont Trump, le pape Léon XIV et Orbán;2025-12-30 20:07:44;templates/post-briefings.php;ops;category;Politique;NULL;Asie septentrionale;NULL
310757;Vers une nouvelle monnaie ? Avec Eichengreen, Kazāks, Knot, Lalucq, Rey et Tolosa;2025-12-30 19:00:00;templates/post-speeches.php;cult;category;Sommet Grand Continent;NULL;Europe;Maria Demertzis
310805;Le plan de Lula pour casser la vague Trump, une conversation avec le ministre brésilien Wellington Dias;2025-12-30 16:00:00;templates/post-interviews.php;cult;category;Suds;NULL;Amériques;Anne-Dominique Correa
310820;Économie russe : la production industrielle recule pour le septième mois consécutif;2025-12-30 15:45:38;templates/post-briefings.php;ops;geo;Économie;NULL;Asie septentrionale;Guillaume Duval
310737;Trump confirme que les États-Unis ont bombardé une cible au Venezuela;2025-12-30 10:03:26;templates/post-briefings.php;ops;geo;Guerre;NULL;Amériques;NULL
310728;Zaporijia : le principal objectif de l’armée russe en 2026 ?;2025-12-30 06:30:00;templates/post-briefings.php;ops;category;La guerre en Ukraine au jour le jour;NULL;Europe;NULL
310696;Trump et le problème de l’an II : le texte intégral du plan Curtis Yarvin;2025-12-30 06:00:00;templates/post-speeches.php;cult;category;De l'Empire Trump : sources intellectuelles d'une révolution culturelle;NULL;Amériques;Arnaud Miranda
310678;«Mission Justice 2025» : les exercices militaires chinois autour de Taïwan, un avertissement adressé à Washington et à Tokyo;2025-12-29 17:53:52;templates/post-briefings.php;ops;category;Guerre;NULL;Asie Orientale;NULL
310641;La diplomatie russe menace l’Ukraine : «s’ils tiennent à la survie de leur population, ils doivent comprendre qu’il n’y a pas d’alternative à la Russie» (vidéo);2025-12-29 12:52:39;templates/post-briefings.php;ops;geo;La guerre en Ukraine au jour le jour;NULL;Asie septentrionale;NULL
310579;L'année 2026 en 25 anniversaires à ne pas manquer;2025-12-29 06:30:00;templates/post-briefings.php;ops;category;Histoire;NULL;NULL;NULL
310499;Lebensraum : de Hitler à Trump, sources et généalogie d’un concept;2025-12-29 06:00:00;templates/post-speeches.php;cult;category;Géopolitique de Donald Trump;NULL;Amériques;Florian Louis
310469;«Je recherche des idées qui s'incarnent», un entretien fleuve avec Benjamin Labatut;2025-12-28 20:27:53;templates/post-interviews.php;ops;category;Sommet Grand Continent;NULL;NULL;Guillaume Erner
310408;Pourquoi Hannah Arendt ?;2025-12-28 10:49:13;templates/post-editorials.php;ops;category;Les intellectuels face à la crise;NULL;NULL;Máriam Martínez-Bascuñán
309567;L’IA et l’Europe avec Kidron, Benanti, Bradford, Bouverot, le Pas de Sécheval, Crawford et López Águeda;2025-12-28 08:30:00;templates/post-speeches.php;cult;category;Sommet Grand Continent;NULL;Europe;Le Grand Continent
310377;L’IA en 2025 : quatre tendances;2025-12-28 07:00:00;templates/post-briefings.php;ops;category;Puissances de l'IA;NULL;Monde;Victor Storchan
310294;Livres : quelles sont les non-fictions qui se sont le plus vendues en Europe en 2025 ?;2025-12-27 14:00:00;templates/post-briefings.php;ops;geo;Uncategorised;NULL;Europe;NULL
309545;La guerre et l'Europe : Béranger, Barnier, Kamyshin, Franc, Moore et Pevkur;2025-12-27 13:00:00;templates/post-speeches.php;cult;category;Sommet Grand Continent;NULL;Europe;Rosa Balfour
310287;Aux États-Unis, plus de la moitié des animaux domestiques sont en surpoids;2025-12-27 06:30:00;templates/post-briefings.php;ops;category;Données qui changent la donne;NULL;Amériques;NULL
310217;La leçon de Raymond Aron face au tragique de l’histoire ;2025-12-27 06:00:00;templates/post-interviews.php;cult;category;Les intellectuels face à la crise;NULL;NULL;Pierre Ramond, Florian Louis
310276;États-Unis : faut-il faire vraiment confiance aux résultats économiques mis en avant par Donald Trump ?;2025-12-26 19:56:30;templates/post-briefings.php;ops;geo;Économie;NULL;Amériques;Guillaume Duval
310209;Livres : les essais les plus attendus de 2026;2025-12-26 19:00:00;templates/post-angles.php;cult;category;Livres;NULL;Europe;NULL
310178;Les forêts couvrent près de 40 % de la surface de l’Union, contre 34 % au début du siècle;2025-12-26 13:30:00;templates/post-briefings.php;ops;category;Données qui changent la donne;NULL;Europe;NULL
309995;Le futur de la démocratie, avec Berset, Díaz, Matviïtchouk, Pettit, Tsikhanouskaya;2025-12-26 07:00:00;templates/post-speeches.php;cult;category;Sommet Grand Continent;NULL;Europe;Le Grand Continent
310171;Économie russe : pourquoi la baisse de l’inflation cache-t-elle une mauvaise nouvelle pour Poutine ? ;2025-12-26 06:30:00;templates/post-briefings.php;ops;geo;Économie;NULL;Asie septentrionale;NULL
309922;Un Noël marqué par des prix du chocolat de plus en plus élevés;2025-12-25 15:30:00;templates/post-briefings.php;ops;category;Économie;NULL;Monde;NULL
307363;Une vision stratégique pour l’Europe avec Gherasimov, Radchenko, Farrell, Blanchard et Schaake;2025-12-25 13:00:00;templates/post-speeches.php;cult;category;Sommet Grand Continent;NULL;Europe;Olivier Blanchard, Sergey Radchenko, Kim Ghattas, Cristina Gherasimov, Marietje Schaake
309918;L’économie de Jane Austen, 250 ans après sa naissance;2025-12-25 07:30:00;templates/post-briefings.php;ops;category;Littérature;NULL;Europe;NULL
309897;Paul Valéry sur la crise et l'avenir de l'Europe;2025-12-25 06:00:00;templates/post-speeches.php;cult;category;Les intellectuels face à la crise;NULL;Europe;Le Grand Continent
310043;Trump et le Groenland : comment se positionnent les États membres ? Carte inédite;2025-12-24 18:44:23;templates/post-briefings.php;ops;geo;Géopolitique de Donald Trump;NULL;Europe;NULL
309904;États-Unis-Venezuela : l'interception de pétroliers pourrait-elle perturber les approvisionnements en 2026 ?;2025-12-24 17:37:09;templates/post-briefings.php;ops;geo;Énergie et environnement;NULL;Amériques;NULL
309941;Des ponts invisibles avec Carrère, Casiraghi, Da Empoli, Labatut et Perlstein;2025-12-24 17:31:20;templates/post-speeches.php;cult;category;Sommet Grand Continent;NULL;Europe;Giuliano da Empoli, Benjamin Labatut, Emmanuel Carrère, Rick Perlstein, Charlotte Casiraghi
309842;Pourquoi fête-t-on Noël le 25 décembre ?;2025-12-24 07:00:00;templates/post-briefings.php;ops;category;Religion;NULL;Monde;Jean-Benoît Poulle
309514;Le Crocodile;2025-12-24 07:00:00;templates/post-editorials.php;ops;geo;Littérature;NULL;Europe;NULL
309680;Les choses cachées de Peter Thiel;2025-12-24 06:00:00;templates/post-speeches.php;cult;category;L'Avent de l'interrègne;NULL;Amériques;Paolo Benanti
309864;Bertolt Brecht et la lutte contre la barbarie;2025-12-23 19:48:36;templates/post-speeches.php;cult;category;Les intellectuels face à la crise;NULL;NULL;Le Grand Continent
309826;Les marchés de Noël sont-ils vraiment authentiques ?;2025-12-23 16:56:43;templates/post-briefings.php;ops;geo;Uncategorised;NULL;Europe;NULL
309760;Le discours de J. D. Vance au ​​rassemblement d’Erika Kirk : texte intégral;2025-12-23 14:32:27;templates/post-speeches.php;cult;category;Politique, De l'Empire Trump : sources intellectuelles d'une révolution culturelle;NULL;NULL;Le Grand Continent
309725;Donald Trump et la prise du Groenland : «Nous devons l’avoir» (vidéo);2025-12-23 12:19:17;templates/post-briefings.php;ops;category;Géopolitique de Donald Trump;NULL;Amériques;NULL
309643;Ozempic : comment les nouveaux médicaments contre l’obésité sont-ils en train de bouleverser les repas de Noël ?;2025-12-23 06:30:00;templates/post-briefings.php;ops;category;Données qui changent la donne;NULL;Monde;NULL
309644;Erik Prince : le Condottiere néo-réactionnaire de l’Empire Trump;2025-12-23 06:00:00;templates/post-studies.php;cult;category;L'Avent de l'interrègne;NULL;Amériques;NULL
309491;«Éphémère destinée» : le viatique de Sigmund Freud face aux dangers;2025-12-22 13:00:00;templates/post-speeches.php;cult;category;Les intellectuels face à la crise;NULL;Europe;Élisabeth Roudinesco
309520;Qui est Jeff Landry, l’envoyé spécial de Donald Trump qui veut «faire du Groenland une partie des États-Unis» ?;2025-12-22 12:25:19;templates/post-briefings.php;ops;category;Géopolitique de Donald Trump;NULL;Europe;NULL
309471;En 2025 les exportations de technologies propres chinoises ont dépassé les exportations d’énergies fossiles américaines;2025-12-22 06:30:00;templates/post-briefings.php;ops;category;Données qui changent la donne;NULL;Monde;NULL
309458;Beatrix von Storch : la stratège de l’AfD qui veut prendre l’Allemagne;2025-12-22 06:00:00;templates/post-speeches.php;cult;category;L'Avent de l'interrègne;NULL;Europe;Pierre Mennerat
309357;«J’ai choisi d’écrire une fiction, pas une autofiction», une conversation avec Andrea Bajani;2025-12-21 17:00:00;templates/post-interviews.php;cult;category;Littérature;NULL;Europe;Virginie Bloch-Lainé
309437;Trouver son salut par la guerre : le mythe de «l’homme russe» pour éviter l’effondrement;2025-12-21 14:38:51;templates/post-speeches.php;cult;category;Doctrines de la Russie de Poutine;NULL;Asie septentrionale;Guillaume Lancereau
309413;Économie russe : l’inflation pénalise avant tout les ménages les plus modestes;2025-12-21 07:00:00;templates/post-briefings.php;ops;geo;Économie;NULL;Asie septentrionale;NULL
309365;Patrouchev contre la «pyramide parasitaire» : dans la tête de l’homme le plus dangereux de Russie;2025-12-21 06:00:00;templates/post-speeches.php;cult;category;L'Avent de l'interrègne;NULL;Asie septentrionale;Guillaume Lancereau
309372;Guerre en Ukraine : les 10 tendances lourdes de 2025;2025-12-20 19:12:29;templates/post-studies.php;cult;category;Tendances 2025;NULL;NULL;Stéphane Audrand
309211;Stefan Zweig : «L'heure est venue pour les intellectuels de prendre la parole»;2025-12-20 07:00:00;templates/post-speeches.php;cult;category;Les intellectuels face à la crise;NULL;NULL;Le Grand Continent
309190;Plus un pays est riche, plus on y boit du café;2025-12-20 06:30:00;templates/post-briefings.php;ops;category;Données qui changent la donne;NULL;Monde;NULL
309225;Stablecoins : un euro géopolitique pour résister à la déflagration;2025-12-20 06:00:00;templates/post-angles.php;cult;category;L'Avent de l'interrègne;NULL;Europe;Shahin Vallée
309274;La guerre c’est la paix : extraits choisis de la conférence de presse de Vladimir Poutine;2025-12-19 22:33:08;templates/post-speeches.php;ops;category;Doctrines de la Russie de Poutine;NULL;Asie septentrionale;Guillaume Lancereau
309125;Apocalypse, monarchie, remigration : les mots d’une année extrême;2025-12-19 17:50:23;templates/post-angles.php;cult;category;2025 : grandes tendances;NULL;Europe;Steven Forti, Sergi Soler López
309126;Guerre hybride : des gardes-frontières russes ont illégalement pénétré en Estonie;2025-12-19 17:35:13;templates/post-briefings.php;ops;geo;Guerre;NULL;Europe;NULL
309086;La stratégie américaine de pression maximale sur Maduro va-t-elle fonctionner ?;2025-12-19 06:30:00;templates/post-briefings.php;ops;geo;Guerre;NULL;Amériques;NULL
309052;Le plan de Wang Huning pour suicider les États-Unis;2025-12-19 06:00:00;templates/post-speeches.php;cult;category;L'Avent de l'interrègne;NULL;Asie Orientale;Le Grand Continent
309032;Est-ce la fin du Pacte vert européen ?;2025-12-18 19:15:33;templates/post-angles.php;cult;geo;Énergie et environnement;NULL;Europe;Shahin Vallée, Palma Polyak
309017;Trump et Poutine ne se sont pas appelés depuis deux mois – la période la plus longue depuis le 20 janvier;2025-12-18 15:50:34;templates/post-briefings.php;ops;category;Politique;NULL;Amériques;NULL
308865;La nouvelle technocratie : 2025, année du néo-saint-simonisme;2025-12-18 15:00:00;templates/post-studies.php;cult;category;2025 : grandes tendances;NULL;Europe;Pierre Charbonnier
308915;Le dernier Conseil européen de l’année s’ouvre à Bruxelles;2025-12-18 06:30:00;templates/post-briefings.php;ops;geo;Politique;NULL;Europe;NULL
308928;Qui est Nick Fuentes ? L'antisémite qui veut faire basculer l'Amérique de Trump;2025-12-18 06:27:00;templates/post-speeches.php;cult;category;L'Avent de l'interrègne;NULL;Amériques;Le Grand Continent
308898;Aux États-Unis, le marché de l’emploi continue de ralentir;2025-12-17 18:36:41;templates/post-briefings.php;ops;category;Économie;NULL;Amériques;Guillaume Duval
308864;Poutine et la guerre de tous contre tous : qu’est-ce que la «Théorie du chaos» russe ?;2025-12-17 12:50:56;templates/post-studies.php;cult;category;Doctrines de la Russie de Poutine;NULL;Asie septentrionale;Anton Barbachine
308762;Économie russe : le prix des barils vendus par Moscou est au plus bas depuis 2022;2025-12-17 06:30:00;templates/post-briefings.php;ops;category;Énergie et environnement;NULL;Asie septentrionale;NULL
308703;Le «Grand Bluff» : politique de Patrick Sébastien;2025-12-17 06:30:00;templates/post-studies.php;cult;category;L'Avent de l'interrègne;NULL;NULL;Raphaël Llorca
308696;À Koupiansk, Kiev bat en brèche le narratif de Moscou en repoussant les forces russes;2025-12-16 18:01:20;templates/post-briefings.php;ops;category;La guerre en Ukraine au jour le jour;NULL;Europe;NULL
308566;2025 : les grandes tendances de l’économie en 10 graphiques;2025-12-16 16:08:27;templates/post-studies.php;cult;category;2025 : grandes tendances;NULL;Europe;Olivier Garnier
308615;La Chine figure parmi les trois principaux partenaires commerciaux de 10 États membres — contre 0 en 2000;2025-12-16 10:56:21;templates/post-briefings.php;ops;category;Données qui changent la donne;NULL;Europe;NULL
308582;La technosphère de Poutine : le projet de hub technologique eurasiatique du Kremlin avec les BRICS;2025-12-16 06:10:51;templates/post-speeches.php;cult;category;Doctrines de la Russie de Poutine;NULL;Asie septentrionale;Guillaume Lancereau
308556;Depuis le retour au pouvoir de Trump, 900 millions de dollars ont été engagés pour des contrats publics attribués à Palantir;2025-12-15 17:47:28;templates/post-briefings.php;ops;geo;Données qui changent la donne;NULL;Amériques;NULL
308530;Friedrich Merz : l’Allemagne et la fin de la Pax Americana (texte intégral);2025-12-15 13:54:13;templates/post-speeches.php;cult;geo;L'Allemagne de Merz;NULL;Europe;Pierre Mennerat
